parid,neighbourhood group,latitude,longitude,hotel_counts_per_neighbourhood_group
2022610005,Bronx,40.805171,-73.921461,144
2025680068,Bronx,40.806358,-73.912339,144
2026760075,Bronx,40.817853,-73.902388,144
2026780063,Bronx,40.822509,-73.900456,144
2026900123,Bronx,40.823568,-73.899992,144
2027280034,Bronx,40.827434,-73.891914,144
2027450002,Bronx,40.827088,-73.891896,144
2025460011,Bronx,40.803366,-73.919159,144
2029090026,Bronx,40.846598,-73.898312,144
2029090029,Bronx,40.846537,-73.898345,144
2029230001,Bronx,40.844663,-73.898243,144
2029510057,Bronx,40.844523,-73.889345,144
2030160042,Bronx,40.839933,-73.880863,144
2030170065,Bronx,40.831245,-73.884799,144
2030270010,Bronx,40.84843,-73.900533,144
2029090028,Bronx,40.846567,-73.898327,144
2030270014,Bronx,40.848729,-73.900359,144
2025300032,Bronx,40.840513,-73.92842,144
2025230053,Bronx,40.832084,-73.931663,144
2023200011,Bronx,40.809762,-73.928991,144
2023220067,Bronx,40.811697,-73.929769,144
2023400014,Bronx,40.813187,-73.928713,144
2023410040,Bronx,40.815325,-73.928674,144
2023510021,Bronx,40.818595,-73.930409,144
2023690045,Bronx,40.825612,-73.90913,144
2025300009,Bronx,40.840052,-73.928583,144
2023690047,Bronx,40.825634,-73.909199,144
2023750021,Bronx,40.818813,-73.914714,144
2023760023,Bronx,40.819312,-73.914475,144
2023830039,Bronx,40.82398,-73.9131,144
2023910045,Bronx,40.826817,-73.911773,144
2024590053,Bronx,40.825934,-73.921523,144
2025060044,Bronx,40.83746,-73.922283,144
2023720013,Bronx,40.830686,-73.907222,144
2022930051,Bronx,40.815405,-73.916091,144
2030280013,Bronx,40.849967,-73.899601,144
2030290061,Bronx,40.850281,-73.89839,144
2045560037,Bronx,40.868559,-73.857629,144
2046510091,Bronx,40.881554,-73.86394,144
2047050011,Bronx,40.873658,-73.854725,144
2047320012,Bronx,40.873727,-73.853065,144
2047330006,Bronx,40.874796,-73.851667,144
2049180006,Bronx,40.881324,-73.838609,144
2041530001,Bronx,40.844043,-73.836668,144
2049220101,Bronx,40.883661,-73.83541,144
2050870040,Bronx,40.902256,-73.85136,144
2051020027,Bronx,40.905815,-73.853034,144
2051410299,Bronx,40.879901,-73.831806,144
2052700048,Bronx,40.882406,-73.829464,144
2052760001,Bronx,40.883969,-73.826451,144
2056100087,Bronx,40.817403,-73.836733,144
2050660003,Bronx,40.900073,-73.857587,144
2030280017,Bronx,40.850329,-73.899373,144
2037960033,Bronx,40.83313,-73.857643,144
2037390033,Bronx,40.827455,-73.879852,144
2030470063,Bronx,40.850969,-73.893845,144
2030510031,Bronx,40.854186,-73.891042,144
2030520030,Bronx,40.85533,-73.891116,144
2031150025,Bronx,40.85696,-73.88208,144
2031580005,Bronx,40.856346,-73.900586,144
2031640023,Bronx,40.858275,-73.899466,144
2037390034,Bronx,40.82749,-73.879859,144
2031650055,Bronx,40.859855,-73.898556,144
2032620041,Bronx,40.882801,-73.899064,144
2033300048,Bronx,40.870391,-73.878155,144
2033570410,Bronx,40.878187,-73.871696,144
2033950060,Bronx,40.896369,-73.862941,144
2037000023,Bronx,40.827513,-73.845503,144
2037000026,Bronx,40.827513,-73.845503,144
2032361001,Bronx,40.862407,-73.911097,144
2058411968,Bronx,40.90199,-73.896672,144
2022930046,Bronx,40.815457,-73.916218,144
2023400014,Bronx,40.813187,-73.928713,144
2027280034,Bronx,40.827434,-73.891914,144
2027450002,Bronx,40.827088,-73.891896,144
2029090026,Bronx,40.846598,-73.898312,144
2029090028,Bronx,40.846567,-73.898327,144
2029090029,Bronx,40.846537,-73.898345,144
2029230001,Bronx,40.844663,-73.898243,144
2026900123,Bronx,40.823568,-73.899992,144
